"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","25000","0","0","0","1852.45","0","2798.6","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","29200","0","0","0","2.8","0","1.85","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","25200","0","0","0","1760.3","0","2598.85","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","25300","0","0","0","1673.25","0","2499","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","25400","0","0","0","1587.75","0","2399.15","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","25500","2220","2223.1","2220","2223.1","2223.1","2223.1","2","11.09",".89","20","20","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","25600","0","0","0","1920","1920","2199.4","0","0","0","20","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","25700","0","0","0","1975.8","0","2099.55","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","25800","0","0","0","1891.6","0","1999.7","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","25900","0","0","0","2092.65","0","1899.85","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26000","1596.15","1771","1570.85","1733.95","1724.7","1733.95","48","265.2","15.6","700","420","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26100","0","0","0","1926.85","0","1700.3","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26200","0","0","0","1846.05","0","1600.6","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26300","0","0","0","1766.7","0","1501","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26400","0","0","0","1688.9","0","1401.7","0","0","0","0","0","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26500","1081.65","1280","1037.1","1243.75","1228.4","1243.75","383","2115.77","85.87","4860","4160","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26600","1002","1018.1","992.4","1006.1","1006.1","1006.1","7","38.65","1.41","240","100","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26700","900","1082.55","877.25","1050","1045","1050","98","542.4","19.08","1460","800","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26800","813","992.4","800","949.1","940","949.1","95","525.86","16.66","6980","-100","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","26900","724.25","897.3","703.2","859.55","835.9","859.55","470","2598.98","70.38","10640","1120","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27000","653.35","810","609.15","765.55","768","765.55","2662","14731.1","356.3","57040","3400","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27100","545.3","719.85","531.25","674.8","667.25","674.8","884","4906.69","115.41","16400","5240","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27200","475.45","625","450","580.05","570","580.05","1050","5827.62","115.62","24860","7440","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27300","399.9","540","372.65","494.5","485","494.5","2931","16265.09","261.83","25760","12300","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27400","336.1","464.2","305","412.15","402.85","412.15","3207","17820.33","245.97","38520","15500","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27500","291.5","385","242.4","342.2","330","342.2","27374","152181.71","1624.71","148040","67120","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27600","233.75","317","185.75","276.05","260.1","276.05","34535","192279.17","1645.97","109980","38880","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27700","175.05","250.5","137","214.75","210","214.75","55370","308803.52","2053.72","131780","73560","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27800","114.35","193.05","98.25","160.5","151","160.5","69331","387460.65","1980.29","191600","108660","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","27900","86.45","142.55","66.1","114.7","107.35","114.7","60390","338197.92","1221.72","114020","71780","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28000","65","102","42.9","78.15","73","78.15","131831","740121.82","1868.22","418760","177020","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28100","32.7","68","26.35","49.4","46.35","49.4","60362","339774.12","539.68","106760","1560","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28200","25","42.85","15.6","29.4","27.25","29.4","62593","353387.23","362.71","261920","204440","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28300","11.5","25.95","9","16.65","15","16.65","51232","290150.27","177.15","481120","345780","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28400","7.3","16.15","5.4","9.4","8.1","9.4","22357","127031.25","43.49","122080","84760","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28500","4.95","10.4","4","6.3","5.65","6.3","38206","217824.7","50.5","185720","140340","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28600","1.1","7.5","1.1","4","3.5","4","4858","27792.14","4.38","31980","31600","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28700","3.3","6","2.55","3.5","2.7","3.5","4512","25902.5","3.62","40380","40060","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28800","2.2","4.95","1.4","3.05","2.7","3.05","794","4573.99",".55","8000","7780","27764.6"
"BANKNIFTY","07-Mar-2019","14-Mar-2019","CE","28900","4.6","4.9","2.1","2.3","2.1","2.3","226","1306.42",".14","1680","1680","27764.6"
