"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","27000","0","0","0","1901.85","0","4008.65","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","33300","0","0","0","187.65","0","5.05","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","27200","0","0","0","1800.5","0","3808.9","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","27300","0","0","0","1943.25","0","3709.05","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","27400","0","0","0","1974.1","0","3609.15","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","27500","0","0","0","1892.1","0","3509.3","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","27600","0","0","0","1811.55","0","3409.45","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","27700","0","0","0","1984.55","0","3309.55","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","27800","0","0","0","1903.05","0","3209.7","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","27900","0","0","0","2091.35","0","3109.9","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28000","0","0","0","2011.8","0","3010.05","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28100","0","0","0","2118.65","0","2910.3","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28200","0","0","0","2039.65","0","2810.55","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28300","0","0","0","1962","0","2710.9","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28400","0","0","0","1885.75","0","2611.3","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28500","0","0","0","1810.95","0","2511.8","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28600","0","0","0","2124.55","0","2412.45","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28700","0","0","0","2043.5","0","2313.35","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28800","0","0","0","1963.75","0","2214.45","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","28900","0","0","0","1885.4","0","2115.85","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29000","0","0","0","1808.5","0","2017.7","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29100","0","0","0","1733.15","0","1920.05","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29200","0","0","0","1660.4","0","1823.05","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29300","1317.75","1711.55","1317.75","1683.7","1711.55","1683.7","104","637.4","27.96","2000","2000","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29400","0","0","0","1516.25","0","1631.45","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29500","1293.35","1450","1190","1450","1450","1450","156","960.1","39.7","2020","2020","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29600","0","0","0","1380.35","0","1444.3","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29700","980","1162.3","980","1162.3","1162.3","1162.3","4","24.61",".85","40","40","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29800","0","0","0","1251.55","0","1263.15","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","29900","800","1057.75","800","1057.75","1057.75","1057.75","3","18.47",".53","60","40","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30000","810","1023.1","700","978.1","984.1","978.1","542","3345.67","93.67","6960","6440","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30100","0","0","0","1072.05","0","1006.8","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30200","598.1","783","595.05","783","783","783","7","43.23",".95","40","40","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30300","590","693.8","590","690","690","690","11","68.02","1.36","200","160","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30400","440","664.2","413.1","632.05","635.2","632.05","92","567.68","8.32","1220","1220","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30500","508.95","590.65","331.65","546.9","569.2","546.9","5789","35796.8","483.9","25240","21380","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30600","322.45","511.65","277","471.65","454.95","471.65","3543","21942.12","258.96","8700","8580","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30700","380","437.75","228.35","400.6","410.8","400.6","24818","153870.86","1488.34","35620","34820","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30800","289","369.75","186","337.75","334","337.75","37776","234592.69","1892.53","53860","49920","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","30900","247.1","310.4","146.6","279.1","277","279.1","49756","309597.7","2105.62","52220","42020","-"
"BANKNIFTY","13-Jun-2019","20-Jun-2019","CE","31000","200.05","250","111.9","224.45","226","224.45","126625","789443.97","4368.97","257060","171940","-"
