"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","25000","0","0","0","1698.2","0","2003.25","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","29300","0","0","0","188.95","0","0","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","25200","0","0","0","1990.25","0","1803.5","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","25300","0","0","0","2065.6","0","1703.65","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","25400","0","0","0","1985.75","0","1603.85","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","25500","1470","1470","1470","1470","1470","1470","2","10.79",".59","40","40","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","25600","1270","1270","1270","1270","1270","1270","1","5.37",".25","20","20","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","25700","1094.95","1094.95","1094.95","1094.95","1094.95","1094.95","3","16.08",".66","60","60","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","25800","0","0","0","2005.9","0","1205.55","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","25900","0","0","0","1927.05","0","1106.75","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26000","900","1074.3","880.15","1003.7","1010.35","1003.7","336","1812.22","65.02","43800","720","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26100","0","0","0","1773.7","0","911.65","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26200","0","0","0","1700.3","0","816.25","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26300","650","761.6","650","716.1","704.75","716.1","16","86.44","2.28","220","220","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26400","572.2","698.35","535","656.75","658.8","656.75","122","659.15","14.99","1140","1080","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26500","464.95","628.15","459.6","546.7","574.65","546.7","1735","9383.41","187.91","15860","13440","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26600","399.6","539.65","373.55","473.45","493.95","473.45","665","3600.96","63.16","3680","3640","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26700","343.85","462.35","312","394.25","422.2","394.25","962","5208.31","71.23","4980","1140","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26800","302.65","379.6","240.55","321.75","340","321.75","8055","43662.29","487.49","24560","20960","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","26900","230","314.05","190.15","257.8","273.6","257.8","26200","142246","1290","76480","53400","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27000","200","248.7","150","201.7","215.9","201.7","69414","377507.62","2672.02","213000","122480","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27100","142.05","192.65","110.55","153.15","164","153.15","53235","290073.5","1539.8","146420","96680","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27200","112.8","146","80","112.6","119","112.6","70066","382660.63","1501.59","153520","80040","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27300","78.6","107.1","57","78.8","85","78.8","60949","333730.77","949.23","166240","66540","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27400","51","76.05","39.35","52.75","58.8","52.75","56348","309393","605.96","132020","76080","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27500","38.5","52.4","27.05","34.55","39","34.55","62276","342971.49","453.49","251840","118400","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27600","25.3","35.9","17.15","21.15","23.15","21.15","23186","128095.65","108.93","118640","87460","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27700","16.95","23.35","11.35","12.75","13.85","12.75","23696","131343.94","68.1","122520","88000","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27800","11.55","18","7.45","8.4","8.8","8.4","17909","99609.82","35.78","80980","35080","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","27900","6.3","12","4.45","5.4","5.25","5.4","12641","70552.99","16.21","52260","28440","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","CE","28000","6.5","9.5","3.4","4.1","4.15","4.1","26349","147579.82","25.42","175180","86300","-"
