"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","16-May-2019","23-May-2019","CE","27000","0","0","0","1659.45","0","1890.75","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","32100","29.6","34.45","19.4","21.9","24.65","21.9","822","5280.92","3.68","13820","12460","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","27200","0","0","0","1523.5","0","1692","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","27300","1500","1800","1500","1795.7","1791.4","1795.7","7","40.45","2.23","120","120","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","27400","0","0","0","1698.55","0","1494.55","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","27500","1385.3","1550","1381.45","1550","1550","1550","10","57.84","2.84","420","80","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","27600","0","0","0","1514.25","0","1299.55","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","27700","1411","1411","1411","1411","1411","1411","1","5.82",".28","20","20","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","27800","0","0","0","1996.75","0","1108.95","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","27900","0","0","0","1916.65","0","1016.1","0","0","0","0","0","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28000","1050","1329.35","1000.25","1243.55","1320","1243.55","124","722.58","28.18","2300","1780","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28100","948.4","1146.2","947","1101.75","1101.75","1101.75","36","209.84","7.52","600","100","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28200","939.5","1201.75","939.5","1143.75","1180","1143.75","6","35.11","1.27","60","60","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28300","878.6","971.6","878.6","971.6","971.6","971.6","13","75.92","2.34","40","40","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28400","806.1","899","802.05","899","899","899","18","105.4","3.16","260","260","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28500","745.8","997.9","720.5","947.8","971.15","947.8","3893","22843.22","653.12","17040","15260","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28600","1002.75","1002.75","659.05","889.65","925.5","889.65","3371","19801.69","519.57","9960","9080","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28700","894.05","894.05","478.05","818.8","870","818.8","5041","29678.4","743.06","17420","16440","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28800","690","818.05","573.3","772.6","753.2","772.6","3351","19768.63","466.87","11080","7780","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","28900","599","760.45","500","716.25","750","716.25","3416","20172.02","427.54","7700","6700","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","29000","575.3","707.35","486.25","667.4","700","667.4","11186","66163.62","1284.82","46360","36240","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","29100","416.75","657.05","363.6","608.25","646.7","608.25","2034","12056.89","219.01","5220","4240","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","29200","335.75","607.1","335.75","564.45","588.7","564.45","1192","7081.84","120.56","4300","3200","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","29300","410.05","561.8","373.15","529.8","556","529.8","1282","7631.17","118.65","6920","6120","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","29400","350.1","518.35","337.8","488.7","489.25","488.7","1015","6053.72","85.52","3140","3140","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","29500","388.55","488.85","302.85","449.1","470","449.1","8188","48938.08","628.88","41480","30480","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","29600","290","440","272","423.8","430.45","423.8","674","4042.66","52.58","7680","7680","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","29700","278.5","389.3","254.15","321.2","386.35","321.2","136","815.97","8.13","1200","940","-"
"BANKNIFTY","16-May-2019","23-May-2019","CE","29800","260.05","360","212.55","321.6","348.85","321.6","826","4972.5","49.54","9920","9680","-"
