"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","24400","0","0","0","2068.35","0","3161.6","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","29300","0.05","0.35","0.05","0.35","0.35","0.35","17","99.62","0","340","340","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","24600","0","0","0","1907.7","0","2961.85","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","24700","0","0","0","1829.55","0","2862","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","24800","0","0","0","1752.9","0","2762.15","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","24900","0","0","0","1677.8","0","2662.25","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25000","2460","2595","2329.45","2595","2595","2595","59","324.06","29.06","1160","1160","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25100","0","0","0","1532.15","0","2462.55","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25200","0","0","0","1462.1","0","2362.65","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25300","0","0","0","1393.8","0","2262.8","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25400","0","0","0","1327.25","0","2162.95","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25500","1913.5","2034","1913.5","2034","2034","2034","8","43.92","3.12","160","160","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25600","1830","1830","1830","1830","1830","1830","1","5.49",".37","20","20","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25700","1705.85","1715.1","1705.85","1715.1","1715.1","1715.1","10","54.81","3.41","200","200","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25800","0","0","0","1079.85","0","1763.55","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","25900","0","0","0","1022.75","0","1663.8","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26000","1500","1580","1357","1518.85","1510","1518.85","88","484.06","26.46","1740","1620","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26100","0","0","0","914.4","0","1464.5","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26200","0","0","0","863.15","0","1365.15","0","0","0","0","0","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26300","1188.85","1294.6","1036.8","1294.6","1294.6","1294.6","131","719.69","30.63","2080","2020","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26400","1118.8","1195.9","951.05","1128.6","1121.4","1128.6","836","4591.34","177.26","45340","13300","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26500","1030","1100.3","855","1039.4","1028.1","1039.4","1574","8647.5","305.3","21120","17760","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26600","905","993.1","769","934.5","923.1","934.5","434","2386.6","77.72","8460","8460","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26700","821.25","869.65","727","832.5","828.05","832.5","1443","7932.16","226.54","26740","26680","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26800","750.25","806.3","588","747.3","741.9","747.3","518","2849.91","73.43","7140","6120","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","26900","629.75","715.85","510","661.85","653.5","661.85","364","2001.14","42.82","4800","3300","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","27000","585","641.1","414.9","579.15","568.85","579.15","6511","35835.25","675.85","103740","50080","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","27100","490","550","344","491.45","482","491.45","883","4865.25","79.39","9660","3220","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","27200","425","463","275.7","409.3","402.25","409.3","2197","12112.48","160.8","13900","3460","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","27300","368.15","390","221.8","339.9","328.4","339.9","11718","64663.41","683.13","59380","11500","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","27400","297.4","324.95","175.05","276.35","265.05","276.35","28627","158227.74","1351.78","52600","24900","27528.75"
"BANKNIFTY","17-Jan-2019","24-Jan-2019","CE","27500","244.8","260","130.3","219.35","211.5","219.35","93875","519966.61","3654.11","277980","127100","27528.75"
