"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31600","618.3","618.3","50","67.15","76.8","67.15","17277","109934.95","744.31","46200","25520","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31700","703.15","703.15","43.2","57.3","61.05","57.3","13668","87143.95","488.83","49580","42580","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31800","420","585.45","35.35","47.9","53.7","47.9","11868","75920.39","439.91","41880","22160","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31900","469.95","469.95","30.8","40.1","40.6","40.1","12149","77891.89","381.27","29280","18760","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","32000","338.65","399","24.45","32.35","36","32.35","185637","1193594.75","5517.95","617940","235640","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","32100","285","357.8","21.85","29.35","33","29.35","19279","124217.68","446.5","62180","11140","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","32200","240.1","413.15","19.05","24.65","29.85","24.65","21016","135736.59","393.55","28560","24840","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","32300","399.8","399.85","17.95","22.2","27.7","22.2","10185","66000.03","204.93","20200","8700","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","32400","199.95","278.7","16.3","20.7","22.1","20.7","130192","846028.29","2384.13","410900","123740","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","25200","6110","6554.45","5180","5211.8","5180","5211.8","41","254.58","47.94","7840","-120","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","25300","0","0","0","2063.3","0","5141.5","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","25400","0","0","0","1978.65","0","5041.65","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","25500","5790.3","5790.3","5179.65","5179.65","5179.65","5179.65","4","24.76","4.36","5540","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","25600","0","0","0","1813.45","0","4841.9","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","25700","0","0","0","1733.05","0","4742","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","25800","0","0","0","1654.2","0","4642.15","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","25900","0","0","0","1577","0","4542.3","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26000","5470.85","5470.85","4340.3","4340.3","4340.3","4340.3","57","351.63","55.23","19920","-160","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26100","0","0","0","3888","3888","4342.55","0","0","0","140","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26200","0","0","0","1355.6","0","4242.65","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26300","0","0","0","1285.65","0","4142.8","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26400","0","0","0","1217.7","0","4042.95","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26500","5189.4","5189.4","4347.7","4360","4360","4360","4","24.86","3.66","10960","-40","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26600","0","0","0","3845","3845","3843.2","0","0","0","40","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26700","0","0","0","3300","3300","3743.35","0","0","0","40","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26800","0","0","0","966.35","0","3643.5","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","26900","0","0","0","3100","3100","3543.65","0","0","0","60","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27000","4236.25","4628.75","3390","3457.85","3390","3457.85","574","3545.45","445.85","24960","-10660","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27100","0","0","0","3452.6","3452.6","3344.05","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27200","0","0","0","749.35","0","3244.25","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27300","3600","3600","3600","3600","3600","3600","1","6.18",".72","40","20","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27400","0","0","0","3220","3220","3044.85","0","0","0","2120","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27500","3906.15","4015.6","2873.5","2873.5","2873.5","2873.5","12","74.48","8.48","29980","-100","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27600","3891","3891","3891","3891","3891","3891","1","6.3",".78","20","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27700","0","0","0","2400","2400","2746.3","0","0","0","40","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27800","0","0","0","488.85","0","2647.05","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","27900","0","0","0","2250","2250","2547.95","0","0","0","40","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28000","3072.6","3760.2","2371.1","2442.7","2546.5","2442.7","290","1802.2","178.2","68220","-2400","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28100","0","0","0","2479","2479","2350.65","0","0","0","500","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28200","0","0","0","2757.8","2757.8","2252.5","0","0","0","20","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28300","2350","2350","2350","2350","2350","2350","1","6.13",".47","60","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28400","3200","3200","2743.9","2743.9","2743.9","2743.9","2","12.55","1.19","780","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28500","2435","3135","1930","2015.55","2085.35","2015.55","188","1170.35","98.75","23720","-760","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28600","2700","3050","1821","1821","1821","1821","24","149.36","12.08","3200","-20","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28700","2549.95","2904.65","1713.85","1713.85","1713.85","1713.85","32","199.01","15.33","6180","-160","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28800","2630","2850","2010","2021.2","2021.2","2021.2","19","118.48","9.04","6800","-160","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","28900","2517.05","2800.15","1650","1650","1650","1650","38","236.72","17.08","12140","-140","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29000","2205","2790","1420.5","1519.05","1610.75","1519.05","7099","44256.6","3082.4","520760","68320","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29100","2327.75","2525","1421.3","1421.3","1421.3","1421.3","55","342.75","22.65","9060","360","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29200","2520.9","2561.1","1250","1371.45","1250","1371.45","155","965.15","59.95","8040","-660","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29300","1904.55","2373.6","1155.9","1236.7","1300","1236.7","122","758.66","43.74","3500","-240","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29400","1938.6","2425.85","1107","1160.3","1233.3","1160.3","39","242.39","13.07","2240","-40","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29500","1751.2","2327.8","1020.2","1112.1","1180","1112.1","5692","35630.08","2047.28","288800","-3280","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29600","1716.9","2090","971.7","1013.95","1067.7","1013.95","45","281.13","14.73","10340","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29700","1600","1875.3","860","892.2","955","892.2","94","587.33","28.97","5660","-440","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29800","1600","2015.75","800","819","839.7","819","60","375.14","17.54","4760","-360","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","29900","1600","1921.1","742.5","773.8","804.15","773.8","80","501.8","23.4","2560","-1020","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30000","1523.95","1850","633.75","703.65","795.55","703.65","11375","71031.27","2781.27","244800","-20040","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30100","1439.35","1736.8","558.1","644.05","709.2","644.05","234","1456.58","47.9","3080","460","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30200","1293.3","1470","490.3","573.65","645.3","573.65","312","1933.09","48.61","4280","320","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30300","1128.05","1572.15","417.75","486","550","486","798","4953.15","117.27","7640","-840","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30400","1100","1487.4","382.75","446.45","490","446.45","2733","16905.67","289.03","17700","11380","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30500","1100.05","1399.5","324.3","391.3","445.1","391.3","31928","198905.29","4144.49","318660","-5960","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30600","1179.35","1300","285.3","346.1","385","346.1","4310","26827.66","450.46","17840","5480","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30700","1099.95","1200","248.85","301.55","359.95","301.55","5711","35600.78","535.24","22240","4080","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30800","1049.9","1132.1","204.6","255.9","282.9","255.9","8857","55251.8","692.68","39300","23420","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","30900","1000","1057.45","164.1","214","242.2","214","9132","57109.4","673.64","26080","19800","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31000","764","993.4","140","179","209.95","179","97359","611843.85","8218.05","412820","76820","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31100","765","940.15","120.4","152.7","170.4","152.7","13084","82167.54","785.06","32820","27000","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31200","858.9","858.95","102","127.55","139.05","127.55","15930","100366.74","963.54","37720","29240","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31300","620.05","780.05","85.6","109.65","120.05","109.65","14913","94138.56","783.18","28180","21540","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31400","848.3","848.3","73.1","94.3","105","94.3","22232","140635.97","1019.01","60220","38660","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","CE","31500","518.95","657","59","78.3","89.95","78.3","144049","915126.79","7618.09","494140","69460","30409.1"
"BANKNIFTY","24-May-2019","30-May-2019","CE","31600","81","160","22","128.5","120","128.5","151285","958717.5","2596.3","86980","40780","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","31700","65.05","130.9","17.1","100","92.95","100","128107","813918.31","1719.93","142140","92560","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","31800","60.05","107.5","13.2","79.25","72.4","79.25","133151","848203.93","1363.57","99220","57340","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","31900","44.95","88.8","11.65","61.2","53","61.2","94147","601457.77","799.91","117820","88540","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","32000","40.05","75","10.25","50.95","43.05","50.95","340004","2178526.33","2500.73","544800","-73140","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","32100","35.05","63.7","9.2","39.2","33.3","39.2","73305","471020.6","402.5","62700","520","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","32200","30.05","53.75","8","30.1","26.5","30.1","53311","343574.95","252.11","75540","46980","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","32300","24","44.25","6.9","24.7","21","24.7","36623","236731.7","147.12","41560","21360","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","32400","39.4","39.45","6.8","21.6","19","21.6","115279","747416.46","408.54","442400","31500","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","25200","5595.95","5990","5420","5990","5990","5990","26","161.1","30.06","7760","-80","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","25300","0","0","0","2063.3","0","5940.35","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","25400","0","0","0","1978.65","0","5840.45","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","25500","5110","5510.1","5110","5510.1","5510.1","5510.1","11","67.66","11.56","5360","-180","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","25600","0","0","0","1813.45","0","5640.65","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","25700","0","0","0","1733.05","0","5540.8","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","25800","0","0","0","1654.2","0","5440.9","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","25900","0","0","0","1577","0","5341","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26000","4800","5012.75","4623.15","5012.75","5012.75","5012.75","15","92.18","14.18","19720","-200","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26100","0","0","0","3888","3888","5141.2","0","0","0","140","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26200","0","0","0","1355.6","0","5041.3","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26300","0","0","0","1285.65","0","4941.45","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26400","0","0","0","1217.7","0","4841.55","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26500","4218.4","4565.15","4111.3","4525","4525","4525","35","215.18","29.68","10800","-160","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26600","0","0","0","3845","3845","4641.75","0","0","0","40","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26700","0","0","0","3300","3300","4541.85","0","0","0","40","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26800","0","0","0","966.35","0","4442","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","26900","0","0","0","3100","3100","4342.1","0","0","0","60","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27000","3662.6","4196","3600","4073.95","4073.95","4073.95","28","172.8","21.6","24720","-240","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27100","0","0","0","3452.6","3452.6","4142.3","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27200","0","0","0","749.35","0","4042.45","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27300","0","0","0","3600","3600","3942.55","0","0","0","40","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27400","3200.05","3646.05","3200.05","3646.05","3646.05","3646.05","43","263.9","28.26","1260","-860","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27500","3115","3521.75","3080","3521.75","3521.75","3521.75","27","165.59","17.09","29520","-460","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27600","3146.85","3418.55","3128.8","3418.5","3418.5","3418.5","27","167.1","18.06","440","420","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27700","0","0","0","2400","2400","3543.1","0","0","0","40","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27800","0","0","0","488.85","0","3443.3","0","0","0","0","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","27900","0","0","0","2250","2250","3343.5","0","0","0","40","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","28000","2750","3224.6","2610","3178.15","3178.3","3178.15","113","697.19","64.39","66760","-1460","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","28100","0","0","0","2479","2479","3144","0","0","0","500","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","28200","0","0","0","2757.8","2757.8","3044.3","0","0","0","20","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","28300","2500.2","2500.2","2500.2","2500.2","2500.2","2500.2","1","6.16",".5","60","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","28400","0","0","0","2743.9","2743.9","2845.25","0","0","0","780","0","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","28500","2294.75","2799.95","2085","2750.45","2725.5","2750.45","168","1040.93","83.33","21700","-2020","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","28600","2206.95","2483.95","1985","2483.95","2483.95","2483.95","15","92.5","6.7","3040","-160","-"
"BANKNIFTY","24-May-2019","30-May-2019","CE","28700","2120.8","2411.75","1953.35","2346.6","2346.6","2346.6","16","98.84","7","6220","40","-"
