"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","31600","0","0","0","232.25","0","1.4","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","31700","0","0","0","317.95","0","0.95","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","31800","0","0","0","291.85","0","0.65","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","31900","0","0","0","48","48","0.45","0","0","0","20","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","32000","5","6.8","2.4","2.8","2.65","2.8","996","6375.21",".81","10240","8440","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","32100","0","0","0","38.9","0","0.2","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","25200","4942.95","4942.95","4482.2","4482.2","4482.2","4482.2","2","11.97","1.89","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","25300","0","0","0","1975.75","0","4294.2","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","25400","0","0","0","1887.55","0","4194.35","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","25500","0","0","0","1985.8","0","4094.45","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","25600","0","0","0","1898.3","0","3994.6","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","25700","0","0","0","1812.15","0","3894.7","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","25800","0","0","0","1727.4","0","3794.85","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","25900","0","0","0","1644.2","0","3695","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","26000","0","0","0","1562.6","0","3595.1","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","26100","0","0","0","1482.8","0","3495.25","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","26200","0","0","0","1404.75","0","3395.35","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","26300","0","0","0","1328.65","0","3295.5","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","26400","0","0","0","1255.6","0","3195.65","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","26500","0","0","0","1182.4","0","3095.75","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","CE","26600","0","0","0","1112.6","0","2995.9","0","0","0","0","0","29561.35"
