"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","28000","35.9","42.95","9.5","12.05","9.85","12.05","61982","347343.05","243.85","291400","181100","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","25700","1471.3","1471.3","1470","1470","1470","1470","12","65.21","3.53","260","240","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","28200","19.6","25","4.8","6.15","4.8","6.15","8238","46478.61","16.29","41740","40660","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","28300","13.25","16.4","3.75","4.5","4.6","4.5","3626","20528.58","5.42","14380","14240","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","28400","6.35","9.2","2.7","3.4","3.2","3.4","2556","14520.92","2.84","10220","9940","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","28500","29.9","29.9","2.4","2.8","2.6","2.8","9218","52551.03","8.43","76200","44260","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","28600","6","6","2","3.35","3.35","3.35","169","966.79",".11","2280","2240","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","28700","0","0","0","54.7","0","1.25","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","28800","0","0","0","45.65","0","0.8","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","28900","4.2","4.2","3.5","3.5","3.5","3.5","4","23.12","0","80","40","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","25800","1260","1260","1260","1260","1260","1260","2","10.82",".5","60","40","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","25900","1210.25","1227","1007","1007","1007","1007","8","43.28","1.84","140","140","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","26000","1248.2","1250.95","899.05","923.75","924.7","923.75","4154","22435.24","834.44","69800","60480","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","CE","26100","1082.1","1106.05","967.55","967.55","967.55","967.55","150","813.79","30.79","1620","-60","-"
