"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25000","0","0","0","1850","1850","1823.25","0","0","0","20","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25100","0","0","0","1798","0","1723.35","0","0","0","0","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25200","0","0","0","1707.95","0","1623.5","0","0","0","0","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25300","0","0","0","1619.3","0","1523.7","0","0","0","0","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25400","0","0","0","2040.75","0","1423.95","0","0","0","0","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25500","0","0","0","1400","1400","1324.3","0","0","0","40","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25600","0","0","0","1250","1250","1224.8","0","0","0","20","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25700","1086.35","1154.55","1086.35","1154.55","1154.55","1154.55","2","10.73",".45","20","20","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25800","0","0","0","1722.6","0","1027.1","0","0","0","0","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","25900","0","0","0","1646.9","0","929.4","0","0","0","0","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26000","980","980","866.85","898.15","914","898.15","257","1383.62","47.22","18360","860","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26100","799","799","789.95","790.3","789.95","790.3","15","80.69","2.39","260","260","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26200","745.8","771.8","690.4","705.3","713.7","705.3","20","107.64","2.84","200","-20","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26300","670","684.1","594.05","615.3","632.05","615.3","46","247.8","5.84","640","560","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26400","621.35","621.35","535","547.5","550.5","547.5","69","372.13","7.81","600","-80","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26500","554.35","570.9","452.9","466.4","491.6","466.4","1058","5711.43","104.03","9740","5520","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26600","499.95","499.95","380.15","398.55","400.05","398.55","594","3210.27","50.19","3480","2880","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26700","396.7","409.5","311.3","326.85","357.45","326.85","3865","20909.05","269.95","11440","6880","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26800","306.85","359.4","250.2","265","285","265","19503","105651.18","1115.1","70380","32700","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","26900","241.15","277.4","195","207.25","222.15","207.25","34094","184988.25","1562.53","97200","-11000","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","27000","231","231.05","150","160.45","170","160.45","61451","334033.47","2198.07","315740","166120","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","27100","161.1","171.25","108.8","116.95","125","116.95","37991","206927.6","1016.38","129420","79520","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","CE","27200","128.7","130","76.4","81.4","86","81.4","59884","326926.18","1157.22","290280","217360","-"
