"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","31400","27.85","59.15","23.15","52.4","55.6","52.4","7920","49810.15","72.55","28400","20480","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","31500","40","48.5","20.5","41.55","44.5","41.55","25918","163472.18","188.78","107160","62580","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","31600","16","39.4","16","31.9","31.05","31.9","4961","31383.29","29.77","43060","43060","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","28200","1908.3","1990","1908.3","1990","1990","1990","5","30.14","1.94","100","100","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","28300","1788.1","1950","1788.1","1950","1950","1950","7","42.23","2.61","540","80","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","28400","1775","1775","1765","1765","1765","1765","7","42.24","2.48","680","120","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","28500","1604.65","1934.6","1593.8","1862.35","1930.15","1862.35","312","1889.41","111.01","11400","5100","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","28600","1567.9","1800","1567.9","1800","1800","1800","3","18.16","1","80","60","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","28700","1515.7","1620","1515.7","1620","1620","1620","2","12.11",".63","80","40","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","28800","1302.35","1629.15","1302.35","1621.5","1624.85","1621.5","49","296.58","14.34","1220","560","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","28900","1306","1456.3","1306","1456.3","1456.3","1456.3","7","42.32","1.86","300","140","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","29000","1073.2","1484.4","1073.2","1427.15","1452","1427.15","577","3494.75","148.15","22380","4200","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","29100","1085.2","1375.8","1085","1343.55","1356.65","1343.55","19","115.23","4.65","2520","240","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","29200","1060","1275.75","1049","1237.4","1275.75","1237.4","83","503.64","18.92","2440","140","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","29300","821.75","1201.15","821.75","1168.1","1152.6","1168.1","231","1405.14","51.48","2840","-3100","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","29400","740","1117.05","740","1079.1","1117.05","1079.1","148","899.26","29.02","6540","-1620","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","29500","731.6","1024.6","665.1","1003.75","1020","1003.75","4600","27971.59","831.59","109860","22920","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","29600","630","948.5","630","932.7","948.5","932.7","432","2627.39","69.95","10120","-980","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","CE","29700","568.8","849.15","546.9","825.4","832","825.4","1526","9279.92","215.48","43900","100","-"
