"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","30200","1201.35","1346.3","1201.35","1323.35","1323.35","1323.35","48","301.93","12.01","420","320","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","30100","1330","1416.05","1330","1416.05","1416.05","1416.05","2","12.59",".55","20","20","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","30400","1131.6","1140","1089","1108.85","1120","1108.85","32","201.67","7.11","720","420","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","30500","820","1130","820","1034.45","1077.5","1034.45","326","2055.79","67.19","6580","2040","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","30600","860","1050","860","923.4","923.4","923.4","37","233.31","6.87","700","-120","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","30700","750","895","750","843.6","895","843.6","188","1185.95","31.63","2640","1860","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","30800","593","865","593","784.4","822.15","784.4","209","1315.25","27.81","3060","1740","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","30900","535.05","767.7","504.05","695.25","732.1","695.25","200","1259.79","23.79","1840","-120","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31000","449.95","710","435.55","624.2","658.95","624.2","5846","36940.57","695.37","43420","24860","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31100","374.5","622.65","372.6","521.7","572.5","521.7","676","4269.9","65.18","3100","2000","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31200","327.95","559.9","315.35","478.7","498","478.7","5130","32464.23","453.03","13760","8420","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31300","298.5","493.95","263.1","406.3","437","406.3","12044","76272.6","877.16","27420","14640","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31400","264.9","423","201.9","349.25","377.55","349.25","18168","115263.61","1168.57","44760","19820","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31500","206.85","363","179.05","295.15","320","295.15","80986","514757.45","4545.65","283520","159840","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31600","160.85","305","146.8","248.35","269","248.35","44015","280290.13","2115.33","104180","71340","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31700","131.7","249.95","117.7","205.65","224.35","205.65","40457","258060.97","1563.59","93400","66560","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31800","111.15","202.9","92","162.85","182","162.85","45790","292612.85","1388.45","101460","58140","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","31900","84","164.1","72.8","131.3","147.85","131.3","32204","206250.82","789.3","61180","43340","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","32000","75","129.65","57.95","105.6","117","105.6","119974","770112.99","2279.39","378980","193620","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","32100","46.1","101.05","42.85","80.7","90","80.7","19455","125184.83","283.73","63800","52760","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","32200","38","78.3","33.85","62.85","69.9","62.85","20439","131851.87","224.71","67540","52120","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","32300","32","60","15","47.5","53.4","47.5","12652","81838.73","106.81","56220","36520","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","32400","26","45","16.6","36.1","40","36.1","13987","90720.74","84.98","52420","32900","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","32500","17","33.5","14.65","26.8","29.6","26.8","40107","260886.39","190.89","181660","105060","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","32600","13.35","23.5","10.2","19.15","21","19.15","8480","55317.9","28.3","44560","39060","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","CE","32700","12.5","31.85","7.95","13.65","31.85","13.65","2892","18921.03","7.35","17600","12640","-"
