"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","24500","0","0","0","2100.55","0","2828.45","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","29300","0","0","0","97.7","0","0.25","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","24700","0","0","0","1995.4","0","2628.7","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","24800","0","0","0","1915.5","0","2528.85","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","24900","0","0","0","1837.1","0","2428.95","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25000","1965","1965","1965","1965","1965","1965","1","5.39",".39","20","20","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25100","0","0","0","1684.8","0","2229.25","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25200","0","0","0","1611.95","0","2129.4","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25300","0","0","0","1539.7","0","2029.55","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25400","0","0","0","1468.25","0","1929.75","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25500","1430.85","1707.25","1415.95","1707.25","1707.25","1707.25","6","32.49","1.89","100","40","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25600","1310","1408.8","1310","1408.8","1408.8","1408.8","2","10.78",".54","20","20","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25700","1180","1413.55","1180","1396.15","1396.15","1396.15","13","70.12","3.3","160","160","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25800","0","0","0","1204.75","0","1531.35","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","25900","1039.8","1039.8","1039.8","1039.8","1039.8","1039.8","1","5.39",".21","20","20","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","CE","26000","980.3","1262.6","940","1232.65","1218.7","1232.65","2624","14182.81","538.01","46580","45540","27295.45"
