"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","31500","0","0","0","958","958","1557.55","0","0","0","20","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","31600","0","0","0","1539.7","0","1656.1","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","31700","0","0","0","1281.15","0","1755.05","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","31800","0","0","0","1367.15","0","1854.25","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","31900","0","0","0","1454.95","0","1953.7","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","32000","1810.5","1856.3","1632.55","1632.55","1632.55","1632.55","10","67.57","3.57","1060","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","25100","0","0","0","47.5","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","25200","0","0","0","49.25","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","25300","4.65","4.65","4.65","4.65","4.65","4.65","1","5.06","0","6760","20","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","25400","0","0","0","68.1","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","25500","0.1","0.1","0.05","0.05","0.05","0.05","2","10.2","0","20","20","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","25600","0","0","0","68.55","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","25700","0","0","0","82.05","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","25800","0","0","0","96.4","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","25900","0","0","0","109.5","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26000","0","0","0","123.95","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26100","0","0","0","139.85","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26200","0","0","0","157.3","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26300","0","0","0","176.35","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26400","0","0","0","197.1","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26500","0","0","0","0.35","0.35","0","0","0","0","20","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26600","0","0","0","245.05","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26700","0","0","0","270.1","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26800","0","0","0","298.45","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","26900","0","0","0","328.85","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27000","3.8","3.8","1.25","2.75","3","2.75","36","194.42",".02","640","600","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27100","0","0","0","396.05","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27200","0","0","0","432.95","0","0","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27300","0","0","0","472.1","0","0.05","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27400","0","0","0","513.5","0","0.05","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27500","2.05","3","2.05","2.6","2.2","2.6","28","154.01",".01","460","460","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27600","0","0","0","603.2","0","0.05","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27700","0","0","0","651.4","0","0.1","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27800","0","0","0","702","0","0.15","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","27900","0.3","3","0.3","0.8","0.8","0.8","17","94.86","0","320","320","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","28000","6.9","8","2.65","4.25","4.25","4.25","3066","17172.21","2.61","37080","32440","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","28100","0","0","0","867.4","0","0.75","0","0","0","0","0","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","28200","3.2","7","3.2","4","4","4","8","45.13",".01","100","100","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","28300","0.6","9.4","0.6","4.6","4.45","4.6","185","1047.35",".25","3140","3140","29904.9"
"BANKNIFTY","04-Apr-2019","11-Apr-2019","PE","28400","4.05","8.9","4.05","5.85","4.6","5.85","35","198.84",".04","360","360","29904.9"
