"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","27000","3.05","4.95","1.1","1.75","1.75","1.75","508","2743.35",".15","120","120","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","33300","0","0","0","1668.65","0","2409.75","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","27200","1.5","1.85","1.15","1.75","1.75","1.75","7500","40802.25","2.25","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","27300","1.5","1.95","1.15","1.95","1.95","1.95","202","1102.98",".06","40","40","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","27400","1.55","1.9","1.25","1.6","1.6","1.6","1000","5480.31",".31","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","27500","0.1","3.7","0.1","3.7","3.7","3.7","11","60.51",".01","200","200","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","27600","0","0","0","153.1","0","0.3","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","27700","0","0","0","129.05","0","0.4","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","27800","0","0","0","145.05","0","0.6","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","27900","0","0","0","173.85","0","0.8","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28000","4","4.2","3.05","3.55","3.05","3.55","405","2268.31",".31","7580","7540","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28100","0","0","0","186.8","0","1.55","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28200","0","0","0","170.85","0","2.1","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28300","0","0","0","188.6","0","2.8","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28400","0","0","0","207.7","0","3.75","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28500","0","0","0","228.2","0","5","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28600","0","0","0","250.2","0","6.55","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28700","0","0","0","273.75","0","8.55","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28800","0","0","0","299.9","0","11.05","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","28900","0","0","0","325.3","0","14.15","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","29000","2.1","10","2.1","8.8","8.6","8.8","2296","13320.74","3.94","40180","40180","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","29100","0","0","0","383.95","0","22.65","0","0","0","0","0","-"
"BANKNIFTY","06-Jun-2019","13-Jun-2019","PE","29200","0","0","0","415.95","0","28.35","0","0","0","0","0","-"
