"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25000","2.6","3.5","2.3","2.85","2.85","2.85","331","1655.21",".21","4900","4640","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","29300","0","0","0","1504.8","0","1873.8","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25200","1.65","3","1.65","2","2","2","854","4304.46",".3","240","240","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25300","0","0","0","255.4","0","0.05","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25400","0","0","0","277.45","0","0.05","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25500","4.8","5.6","3.2","4.45","3.8","4.45","9996","50988.11","8.51","145800","138660","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25600","0","0","0","326.65","0","0.1","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25700","2.6","3.5","2.6","3.5","3.5","3.5","14","71.97",".01","160","160","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25800","2.75","4.9","2.75","3.15","3.15","3.15","26","134.18",".02","80","80","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25900","7.1","8.45","2.6","4.2","6","4.2","178","922.23",".19","1380","960","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26000","7.45","8.55","4.5","6.35","6","6.35","22396","116487.46","28.26","158720","118040","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26100","10.6","10.65","5.2","6.9","7.1","6.9","8820","46053.04","12.64","21580","17500","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26200","11.35","13.05","6.15","7.9","7.95","7.9","15058","78929.55","25.63","51140","43480","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26300","14.85","15.85","7.1","9.05","9","9.05","14074","74058.5","29.26","48820","33420","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26400","18.75","19.85","8.95","11.5","11.45","11.5","16573","87550.6","45.16","45320","25940","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26500","22","26.45","11.2","14.9","15.8","14.9","55988","296925.36","188.96","241700","137200","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26600","32.1","34.75","13.75","18.7","21.25","18.7","21728","115686.2","93.24","61140","44620","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26700","42.85","44.2","18.35","25.1","29.7","25.1","29484","157610.34","165.78","92500","65880","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26800","55.55","62.8","24.7","35.4","39.95","35.4","46544","249834.79","358.95","159660","110840","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","26900","75.1","75.15","32.65","47.65","52.95","47.65","40039","215809.02","399.2","99980","83300","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27000","94.55","97.65","44.35","67.05","73.55","67.05","115344","624409.94","1552.34","345980","212260","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27100","120.4","126","58","88.8","98","88.8","61618","335034.73","1065.17","165580","132860","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27200","149.85","161.8","79","117.45","128","117.45","84857","463514.38","1892.3","230200","155140","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27300","174.15","205.9","107.3","157.7","168.5","157.7","61574","337993.76","1799.72","115940","90540","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27400","209.7","256.55","141.1","202.05","219.15","202.05","62272","343597.68","2347.12","113980","95380","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27500","290.15","317.8","175.4","248.4","270","248.4","63096","349967.64","2939.64","151880","134660","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27600","323.8","382.75","220","308.35","338","308.35","10614","59200.14","610.86","22320","20900","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27700","417.65","452.8","270.8","388.75","415","388.75","2263","12700.42","163.4","13140","13020","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27800","481","520.7","333.4","457.3","478","457.3","1992","11242.59","167.07","14380","14260","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","27900","497.9","603.55","431.3","513.95","558.65","513.95","118","670.09","11.65","1620","1620","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28000","630.05","700.95","474.8","600.95","644.1","600.95","3365","19228.26","384.26","26320","15700","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28100","0","0","0","1468.6","0","708.7","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28200","0","0","0","1535.35","0","798.5","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28300","0","0","0","1603.55","0","890.95","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28400","0","0","0","1673.2","0","985.55","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28500","1050","1162.3","918","1109.75","1120","1109.75","527","3112.51","108.61","7360","7160","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28600","0","0","0","1631.2","0","1179.05","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28700","0","0","0","1574.95","0","1277.25","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28800","0","0","0","1647.2","0","1376.05","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","28900","0","0","0","1614.2","0","1475.25","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","29000","0","0","0","1558.85","0","1574.65","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","29100","0","0","0","1516.1","0","1674.3","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","29200","0","0","0","1423.45","0","1774","0","0","0","0","0","27387.15"
"BANKNIFTY","07-Feb-2019","14-Feb-2019","PE","25100","3.5","3.5","3.5","3.5","3.5","3.5","85","426.76",".06","2240","1700","27387.15"
"BANKNIFTY","08-Feb-2019","14-Feb-2019","PE","25000","5","5","1.15","2.5","2.05","2.5","656","3280.31",".31","11500","6600","-"
"BANKNIFTY","08-Feb-2019","14-Feb-2019","PE","29300","0","0","0","1504.8","0","1972.6","0","0","0","0","0","-"
"BANKNIFTY","08-Feb-2019","14-Feb-2019","PE","25200","3.6","3.6","1.1","1.1","1.1","1.1","11","55.44","0","220","-20","-"
"BANKNIFTY","08-Feb-2019","14-Feb-2019","PE","25300","1.3","3.5","1.2","2","3.5","2","89863","454749.46","42.68","3080","3080","-"
"BANKNIFTY","08-Feb-2019","14-Feb-2019","PE","25400","0","0","0","277.45","0","0","0","0","0","0","0","-"
"BANKNIFTY","08-Feb-2019","14-Feb-2019","PE","25500","4","4.45","2.8","3.5","3.5","3.5","6063","30925.48","4.18","175020","29220","-"
"BANKNIFTY","08-Feb-2019","14-Feb-2019","PE","25600","0","0","0","326.65","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","08-Feb-2019","14-Feb-2019","PE","25700","5.7","5.7","3.05","3.95","4","3.95","22","113.1",".02","480","320","-"
"BANKNIFTY","08-Feb-2019","14-Feb-2019","PE","25800","5.5","5.6","1","3.5","3.5","3.5","61","314.8",".04","340","260","-"
