"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","24400","0","0","0","144.95","0","0","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","29300","0","0","0","1538.2","0","1732.75","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","24600","0","0","0","239.55","0","0","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","24700","0","0","0","260.8","0","0","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","24800","0","0","0","283.45","0","0","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","24900","0","0","0","307.45","0","0","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25000","2.9","2.9","1.5","1.85","1.6","1.85","3219","16096.2","1.2","53940","50960","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25100","0","0","0","360.6","0","0","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25200","0","0","0","388","0","0.05","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25300","0","0","0","418.05","0","0.05","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25400","0","0","0","449.7","0","0.05","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25500","3.55","3.65","2.25","2.4","2.5","2.4","1235","6299.21",".71","29640","11620","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25600","1.3","3","1.3","3","3","3","26","133.14",".02","520","520","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25700","2.05","3.5","2.05","2.8","3.5","2.8","2","10.28","0","20","20","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25800","5.4","5.4","5.4","5.4","5.4","5.4","1","5.16","0","20","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","25900","5","5","3.5","3.5","3.5","3.5","20","103.62",".02","900","200","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26000","4.9","5.4","3.1","3.35","3.15","3.35","8513","44274.4","6.8","102640","53440","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26100","5.4","5.6","1.75","3.75","2.9","3.75","418","2182.27",".31","1140","180","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26200","5","6.95","1.8","3.8","2.95","3.8","1378","7221.83","1.11","14180","10680","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26300","6","8.95","2.05","4.6","4.2","4.6","2897","15241.09","2.87","27940","24360","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26400","10.4","10.7","2.6","5.55","5.5","5.55","7281","38453.46","9.78","61000","52860","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26500","13.55","15.4","7.3","8.15","8.4","8.15","32345","171495.06","66.56","216420","128220","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26600","17.9","18.85","10.05","11.3","11.95","11.3","15483","82411.17","41.61","83440","66520","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26700","26.85","26.85","14.2","16.3","17.15","16.3","13504","72163.24","51.88","60360","35700","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26800","32.25","36.2","19.85","22.85","24.35","22.85","18874","101262.65","98.01","109140","66000","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","26900","34","46.95","28.4","32.65","34.9","32.65","13551","73002.66","98.28","68800","38660","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27000","45","61.7","39.5","45.35","48","45.35","66637","360501.69","661.89","316440","146340","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27100","55.05","80.2","52.85","60.6","64.6","60.6","25338","137661.33","329.37","103780","58960","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27200","80.8","114.95","71.65","80.9","86","80.9","49213","268564.69","845.97","193740","119920","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27300","147.25","147.45","72.25","107.75","113","107.75","63446","347851.19","1436.03","207140","125280","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27400","133","168.5","124.35","142.5","148.45","142.5","46803","257839.32","1358.88","152480","79100","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27500","162.9","210","150","182","190","182","75172","416210.76","2764.76","316200","199800","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27600","205","262.8","191.2","230.55","239","230.55","45443","252944.23","2098.87","101300","56600","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27700","250.7","319.8","247.45","283.9","295.95","283.9","21759","121771.59","1226.73","48040","17980","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27800","356.15","384.95","302.3","346.3","359.3","346.3","5477","30827.89","375.77","12940","5000","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","27900","402.65","450","366.95","413.6","423","413.6","873","4943.33","71.99","6280","4800","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28000","435.15","528.8","435.1","489.55","498.95","489.55","2222","12658.68","215.48","17580","14060","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28100","529.35","560","529.35","559.9","560","559.9","4","22.92",".44","80","60","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28200","0","0","0","1376.6","0","686.25","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28300","0","0","0","718.4","718.4","772.3","0","0","0","20","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28400","0","0","0","1518.7","0","861.5","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28500","885","960.95","831.55","936.1","934","936.1","859","5054.32","158.02","12520","12360","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28600","0","0","0","1569.3","0","1047.15","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28700","0","0","0","1518.3","0","1142.6","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28800","0","0","0","1600.4","0","1239.3","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","28900","0","0","0","1570.75","0","1337","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","29000","0","0","0","1700","1700","1435.3","0","0","0","160","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","29100","0","0","0","1520","1520","1534.15","0","0","0","360","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","29200","0","0","0","1440","0","1633.35","0","0","0","0","0","27528.55"
"BANKNIFTY","10-Jan-2019","17-Jan-2019","PE","24500","2.45","2.45","0.5","0.9","0.9","0.9","18","88.21",".01","300","240","27528.55"
