"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","25000","5.5","5.9","2.05","3.15","3.05","3.15","468","2340.31",".31","14540","8880","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","29300","0","0","0","1508.05","0","2291.2","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","25200","0","0","0","178.5","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","25300","0","0","0","188.4","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","25400","0","0","0","207.35","0","0.1","0","0","0","0","0","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","25500","8.45","8.45","4.1","5.2","5","5.2","3449","17593.83","3.93","46900","44940","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","25600","2.35","9.95","2.35","6.85","5.8","6.85","136","696.5",".18","1700","660","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","25700","8","8.6","5.55","6.1","5.55","6.1","168","863.76",".24","2800","2780","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","25800","12","12","6.25","6.5","6.45","6.5","809","4175.81","1.37","10940","7920","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","25900","15","20","6.95","8.15","7.65","8.15","1376","7130.44","2.76","9220","8860","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","26000","20.7","25.55","9.95","11.35","11","11.35","32482","169006.95","100.55","229880","135460","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","26100","27","32.65","12.75","14.65","14","14.65","10821","56526.09","40.47","31100","19800","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","26200","17.9","47.95","17.2","19.6","17.95","19.6","16474","86404.99","81.23","74600","65700","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","26300","41.4","57.4","24.4","27.3","27.6","27.3","20825","109684.11","144.61","69740","55000","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","26400","30.25","73.95","30.25","37.8","36","37.8","27379","144808.39","247.27","78240","62980","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","26500","71.35","91","44","50.75","49","50.75","62852","333879.07","763.47","218620","101240","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","26600","90.05","113.8","56.4","66.95","66","66.95","41830","223191.48","655.88","100180","71640","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","26700","119.65","145.05","73.75","88.4","86.75","88.4","48370","259261.26","965.46","144940","112400","-"
"BANKNIFTY","14-Feb-2019","21-Feb-2019","PE","26800","135","181.9","95","115.6","113","115.6","52524","282889.27","1360.63","222760","196240","-"
