"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","25000","0","0","0","62.2","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","30500","0","0","0","1576.75","0","1542.4","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","25200","0","0","0","85.3","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","25300","0","0","0","98.35","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","25400","0","0","0","112.95","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","25500","0","0","0","42.8","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","25600","0","0","0","0.55","0.55","0","0","0","0","20","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","25700","0","0","0","64.15","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","25800","0","0","0","74.75","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","25900","0","0","0","87.85","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26000","6.35","6.55","3.75","4.1","4","4.1","1038","5398.53",".93","11820","3200","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26100","4.35","7.4","2","4.3","4.5","4.3","18","93.98",".02","1960","-140","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26200","0","0","0","128.8","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26300","0","0","0","145.3","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26400","0","0","0","163.45","0","0","0","0","0","0","0","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26500","7.35","8.4","4.95","5.7","5","5.7","3448","18278.5","4.1","55620","28300","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26600","7.45","9.8","6.4","7.45","7.45","7.45","85","452.33",".13","1420","-660","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26700","7.9","7.9","7.9","7.9","7.9","7.9","1","5.34","0","1380","-20","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26800","9","9.25","6","6","6","6","102","546.88",".16","1400","-240","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","26900","9.65","9.65","5.8","6.45","6.55","6.45","263","1415.32",".38","3540","-40","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","27000","9.85","11.75","6.1","7.55","7","7.55","9825","53071.61","16.61","78100","30820","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","27100","12.45","12.85","6","8.2","7.45","8.2","5087","27581.21","9.67","5040","1560","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","27200","10.05","13.85","7.5","9.35","9","9.35","7878","42872.83","16.51","21480","9500","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","27300","16.1","16.1","7.05","9.65","7.05","9.65","8846","48319.27","20.11","20440","8940","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","27400","15","20.85","8.9","10.35","9.8","10.35","8401","46058.44","20.96","15160","5900","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","27500","16.45","21.3","10.15","12.1","10.85","12.1","23934","131705.57","68.57","129860","60260","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","27600","25.6","25.6","11.1","12.9","11.3","12.9","8300","45842.95","26.95","27780","10280","28923.1"
"BANKNIFTY","14-Mar-2019","20-Mar-2019","PE","27700","30","30","13.3","15.9","15.95","15.9","13542","75074.66","51.98","56120","34220","28923.1"
