"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","23-May-2019","30-May-2019","PE","31600","720.45","1332.35","415","1197.7","1066.1","1197.7","1593","10260.6","192.84","2920","1920","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","31700","809.15","1177.8","452.75","1140.05","1110.9","1140.05","233","1506.79","29.57","940","900","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","31800","840.6","1451.5","504.75","1304.3","1228.15","1304.3","94","615.34","17.5","620","620","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","31900","644","674","644","674","674","674","2","13.02",".26","20","20","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","32000","1085.4","1656.85","601.05","1527","1425","1527","2053","13549.52","410.32","24120","7560","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","32100","1220.2","1289.45","791.2","1289.45","1289.45","1289.45","22","146.31","5.07","160","-100","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","32200","1470","1470","1407","1407","1407","1407","2","13.46",".58","20","20","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","32300","0","0","0","1598.9","0","1876","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","32400","1533.85","1802.9","970","1802.9","1802.9","1802.9","43","288.47","9.83","620","620","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","25200","27.05","27.05","2.5","5.5","3.7","5.5","7727","38953.28","9.2","73720","-22500","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","25300","1.95","3.5","1.95","2","2","2","8","40.48","0","80","80","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","25400","0","0","0","118.2","0","0","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","25500","33.95","33.95","0.3","3.25","2.95","3.25","3223","16440.66","3.36","52540","-11640","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","25600","0","0","0","149.3","0","0","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","25700","3","3","3","3","3","3","2","10.28","0","20","20","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","25800","0","0","0","186.35","0","0","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","25900","0","0","0","207.3","0","0","0","0","0","0","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","26000","44.95","44.95","3.65","5.45","6","5.45","3620","18829.25","5.25","58760","-8580","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","26100","0","0","0","3.15","3.15","0","0","0","0","200","0","30409.1"
"BANKNIFTY","23-May-2019","30-May-2019","PE","26200","0","0","0","280.35","0","0","0","0","0","0","0","30409.1"
