"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","23700","0","0","0","311.35","0","0","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","28900","1700","1900","1700","1900","1900","1900","17","104.38","6.12","340","340","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","23900","0","0","0","360.95","0","0","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24000","0.25","2.95","0.25","1.95","1.05","1.95","35","168.01",".01","240","220","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24100","0","0","0","414.6","0","0","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24200","0","0","0","442.6","0","0","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24300","3.05","3.85","0.95","0.95","0.95","0.95","5","24.3","0","0","-20","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24400","0","0","0","504.85","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24500","3","3","2.2","2.75","2.2","2.75","107","524.36",".06","860","800","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24600","0","0","0","572.85","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24700","0","0","0","609.05","0","0.1","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24800","0","0","0","646.7","0","0.1","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","24900","0","0","0","30","30","0.2","0","0","0","20","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25000","7.9","7.9","3.1","3.7","3.5","3.7","2552","12762.31","2.31","44460","22580","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25100","0","0","0","768.75","0","0.6","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25200","0","0","0","812.45","0","0.95","0","0","0","0","0","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25300","5.05","10","4","6.2","6.45","6.2","9","45.55",".01","120","120","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25400","11","11","4.5","5.3","6.2","5.3","163","828.25",".21","2600","2560","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25500","7.55","12.85","6.2","8.35","8.8","8.35","17677","90186.25","33.55","138280","15760","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25600","13.45","14.8","7.6","9.55","9.5","9.55","5730","29349.03","11.43","6520","4040","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25700","7.05","17.95","7.05","11.05","10.1","11.05","7062","36315.18","16.5","10700","6980","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25800","2.05","19","2.05","13.3","13.1","13.3","11334","58514.66","31.22","24040","10200","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","25900","1.7","20.35","1.7","16.45","17.45","16.45","10433","54076.8","33.86","26080","7200","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26000","24.45","24.45","15","20.95","23.15","20.95","51903","270098.24","202.64","221060","52140","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26100","13","31.75","12","26.55","29.1","26.55","15954","83354.25","74.37","40660","18760","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26200","20.75","37.45","18.95","33.8","36.4","33.8","19009","99714.86","107.7","71680","31740","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26300","5","52.45","5","42.6","47.15","42.6","21678","114178.37","152.09","87940","36060","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26400","29.95","60.7","25.05","54.65","57.65","54.65","33918","179379.15","292.11","135260","75820","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26500","35","77","30","69.2","75.7","69.2","104973","557499.58","1142.68","414740","173440","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26600","33.5","99.9","33.5","92.2","96.6","92.2","46066","245726.42","655.3","132440","97640","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26700","68.35","125.45","42.5","115.55","121.05","115.55","66852","358148.83","1159.15","193520","117460","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26800","62.55","160","59.15","150.55","155.05","150.55","69506","374128.38","1576.22","180740","102820","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","26900","78","205.1","75","193.65","196","193.65","62003","335366.31","1790.17","124340","76480","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","27000","135.25","257.95","97.8","243.2","245","243.2","108211","588130.67","3791.27","373560","172960","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","27100","156.6","325","133.35","306.2","307","306.2","41100","224559.17","1797.17","72080","53840","-"
"BANKNIFTY","27-Dec-2018","03-Jan-2019","PE","27200","251.15","393.85","173.8","373.35","378.9","373.35","37250","204703.01","2063.01","96900","75680","-"
