"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","25000","19.4","19.4","9.8","11.8","10.5","11.8","6710","33565.41","15.41","94400","51960","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","29300","0","0","0","1517.6","0","2471.1","0","0","0","0","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","25200","27","27","12.15","14.35","13.25","14.35","324","1633.89",".93","5820","3820","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","25300","15","18.55","12.85","17.1","15.35","17.1","255","1291.13",".83","2460","2460","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","25400","28.8","28.8","15","19.05","19","19.05","936","4758.39","3.51","9160","7880","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","25500","38.3","38.3","15.9","22.5","22","22.5","17066","87112.97","76.37","167400","75360","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","25600","37.5","37.5","18.5","23.95","27.4","23.95","1264","6477.74","6.06","8080","6240","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","25700","50","50","21.1","28.6","24.85","28.6","2776","14284.7","16.06","15420","10640","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","25800","50","50","24.25","33.2","31.25","33.2","7439","38436.84","51.6","36140","29840","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","25900","75","75","31.9","39.3","31.9","39.3","9622","49922.37","80.41","34320","26200","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26000","80","80","39.65","48.7","43","48.7","41108","214188.72","427.12","230080","97300","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26100","70.8","82.5","47.45","58.05","51.05","58.05","15186","79454.17","183.25","65580","40300","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26200","87.75","95.1","57.35","66.75","61.95","66.75","20142","105825.28","281.2","111180","94760","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26300","105.05","109.7","70","80.15","74.65","80.15","23434","123664.42","401.58","116120","86540","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26400","139.7","139.7","87.15","98.2","90.95","98.2","29400","155854.08","622.08","103900","54640","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26500","156","156","107.65","119.85","110","119.85","60880","324201.51","1537.51","355100","109800","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26600","176.75","176.75","114.15","143.9","140","143.9","29031","155307.84","862.92","117720","80120","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26700","200","207.45","155.3","175.45","165","175.45","32589","175192.37","1167.11","81440","32420","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26800","201.95","243.05","187.75","209.8","196","209.8","36102","195038.58","1531.86","141960","89080","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","26900","298.65","298.65","204.75","249.95","230","249.95","25549","138732.97","1279.35","68040","29360","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27000","300","335.05","260.7","299.8","275.2","299.8","35374","193110.85","2091.25","140280","-7940","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27100","344","390","311.85","350.9","333","350.9","4614","25329.93","322.05","21320","2720","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27200","389","449.3","363.85","412.2","381.55","412.2","2329","12859.54","189.78","10620","-1200","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27300","461.15","515","435.9","478.3","462","478.3","953","5293.57","90.19","5660","2120","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27400","542.75","593.8","516.05","561","536","561","240","1341.79","26.59","2960","940","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27500","600","688.1","585","636.4","631.45","636.4","762","4287.65","96.65","11880","8580","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27600","720","720","694.15","707.7","712.4","707.7","9","50.96","1.28","200","180","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27700","0","0","0","845.55","845.55","881.1","0","0","0","20","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27800","940","940","889.6","903.15","906.15","903.15","12","68.91","2.19","360","180","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","27900","0","0","0","1106.5","0","1075.75","0","0","0","0","0","-"
"BANKNIFTY","28-Feb-2019","07-Mar-2019","PE","28000","1070","1150","1060","1113","1117.75","1113","411","2393.88","92.28","7840","7000","-"
