"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","27900","15","15","6.25","7.05","6.8","7.05","181","1010.29",".31","2600","2040","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28000","11.55","16","5.45","6.95","7","6.95","5951","33336.42","10.82","77280","32600","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28100","21","21","6.35","9.2","7.45","9.2","197","1107.62",".48","1180","-700","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","31400","1354.15","1356.85","1341.15","1341.15","1341.15","1341.15","12","78.58","3.22","300","220","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","31500","1425","1425","1045","1046.15","1046.55","1046.15","152","997.9","40.3","8080","2660","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","31600","0","0","0","1541.4","0","1165.55","0","0","0","0","0","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28200","15","16.2","7.4","8.5","8","8.5","219","1235.66",".5","1320","-900","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28300","18.3","25.35","7.05","10","9.8","10","741","4196.23","2.17","2800","1260","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28400","21.55","21.85","9.2","12.6","10","12.6","1541","8756.96","4.08","11840","6840","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28500","29","33.9","9.95","11.8","12","11.8","11421","65135.18","35.48","69980","11320","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28600","36.3","36.9","10.7","13","12.1","13","3592","20557.88","11.64","8280","-7580","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28700","44.2","44.3","12.5","14.9","12.5","14.9","4465","25646.46","17.36","18900","3020","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28800","38.75","52.8","14","17.75","14","17.75","5380","31015.01","26.21","17700","-2840","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","28900","57","63.95","18.85","21.6","18.85","21.6","5292","30619.77","32.01","28100","7900","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29000","65.25","78.65","19.95","26.85","24","26.85","33926","197026.04","255.24","161960","54680","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29100","83.4","91.4","25","31.65","25","31.65","7452","43431.11","60.47","27620","8320","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29200","101.15","107.45","34.2","37.55","34.5","37.55","10524","61575.55","115.39","54040","27400","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29300","113.1","125.05","37.95","43.9","40","43.9","8761","51447.51","108.05","40780","18600","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29400","101.1","148.85","47.4","53.2","49.75","53.2","7823","46118.12","118.88","32560","13220","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29500","155.1","174.05","56.55","63.6","56.55","63.6","49536","293149.92","887.52","302240","117020","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29600","181.25","203.85","63","74.65","63","74.65","17945","106616.41","382.01","96100","73060","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29700","231.6","232.35","83.2","90.25","85.9","90.25","26649","158973.27","678.21","115100","92200","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29800","260","268.5","97.55","107.7","100.85","107.7","30277","181378.65","927.73","132640","84880","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","29900","287.45","309.95","119.45","129.2","121.95","129.2","24396","146751.96","863.88","69020","41520","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","30000","329.05","355.15","142.05","154.35","145","154.35","78780","475783.85","3103.85","385740","255560","-"
"BANKNIFTY","28-Mar-2019","04-Apr-2019","PE","30100","350.15","410.05","172","186.1","172","186.1","23488","142462.37","1064.61","59080","49420","-"
