"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27000","0","0","0","43.7","0","0","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","33200","1600","1625","1600","1614.6","1614.6","1614.6","3","20.89",".97","40","40","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27200","0","0","0","75.05","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27300","0","0","0","78.45","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27400","0","0","0","90.4","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27500","2","2","2","2","2","2","1","5.5","0","380","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27600","0","0","0","118.75","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27700","0","0","0","98.3","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27800","0","0","0","112.35","0","0.1","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27900","0","0","0","146.55","0","0.1","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28000","3","4.8","1.7","2.1","2","2.1","94","526.44",".04","1760","1420","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28100","0","0","0","158.5","0","0.25","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28200","0","0","0","158.1","0","0.35","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28300","0","0","0","187.4","0","0.45","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28400","0","0","0","205.85","0","0.65","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28500","2.3","5","2.3","4.6","4.6","4.6","28","159.63",".03","1040","380","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28600","0","0","0","246.75","0","1.2","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28700","0","0","0","269.35","0","1.6","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28800","0","0","0","293.45","0","2.15","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","28900","0","0","0","21.5","21.5","2.9","0","0","0","120","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29000","7","8","4.1","5.05","4.9","5.05","1445","8382.45","1.45","25440","5000","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29100","0.1","5","0.1","5","5","5","4","23.28","0","40","40","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29200","0","0","0","405.35","0","6.6","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29300","10.6","10.6","6","6","6","6","9","52.75",".01","120","100","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29400","0","0","0","471.6","0","10.95","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29500","13.35","13.35","4.75","6.7","5.15","6.7","757","4467.35","1.05","8000","2100","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29600","7.35","8.5","4","8.2","6.05","8.2","110","651.36",".16","1220","1180","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29700","6.4","9.35","6","7.35","6.2","7.35","48","285.19",".07","340","340","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29800","7.65","11.7","2.25","6.3","5.3","6.3","318","1895.78",".5","1660","1660","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","29900","11.45","12.95","6","8.95","7","8.95","812","4857.35","1.59","10020","9920","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30000","20","30.4","9.1","11.9","10.45","11.9","23609","141716.63","62.63","154020","114260","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30100","25.55","25.55","11.5","13.85","11.5","13.85","3772","22719.25","11.81","7940","3720","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30200","28.05","28.05","13.05","16.75","15.5","16.75","5119","30937.56","18.8","15000","11920","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30300","31.3","37.25","16.65","20.4","18","20.4","5048","30613.57","22.69","14680","8860","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30400","48.7","49.35","21.5","25.8","21.5","25.8","6526","39715.12","37.04","14340","7760","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30500","64","64","27","32.65","30","32.65","40270","245941.72","294.72","154100","71220","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30600","73","75.9","33","40.15","37.65","40.15","10108","61952.34","91.38","35860","22480","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30700","80.05","83.95","41.3","51.35","46.5","51.35","17554","107972.96","191.4","51080","38160","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30800","121.4","121.4","51.25","64.25","55.05","64.25","23954","147882.58","325.94","74440","50740","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","30900","119.55","142.85","64.5","81.2","70.55","81.2","14338","88855.92","247.08","34760","20980","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31000","167.4","167.55","80","99.8","93.95","99.8","74716","464800.15","1560.95","309760","181420","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31100","179.95","197.25","100.6","124.65","116.2","124.65","21588","134841.61","564.25","42840","34180","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31200","258.15","258.15","124","153.4","145","153.4","28412","178194.79","903.91","66740","40440","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31300","269.85","281.65","152.95","189.2","178","189.2","35611","224307.01","1382.15","69020","46240","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31400","321.95","333","185","229.05","209","229.05","24105","152487.82","1108.42","58940","28600","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31500","320.85","400","222.2","273.05","256.15","273.05","62337","396119.14","3396.04","420840","353800","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31600","449","462.65","261.95","319.65","300","319.65","11172","71316.53","709.49","31640","23480","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31700","491.9","540.55","310.25","374.95","354.15","374.95","3413","21889.92","251.5","18300","16880","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31800","504.05","518.95","359.3","422.2","411","422.2","911","5871.11","77.15","6080","4480","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","31900","695.1","695.1","420.15","500.8","480","500.8","76","492.25","7.37","3500","-40","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32000","750","750","483.65","562.65","539.65","562.65","3757","24465.52","420.72","33700","30280","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32100","0","0","0","1560.05","0","771.9","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32200","0","0","0","1607.75","0","841.25","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32300","0","0","0","1685.25","0","913.55","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32400","975","975","780.15","902","902","902","13","86.47","2.23","240","240","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32500","955","1080.95","949","978.75","950","978.75","102","682.84","19.84","1420","1400","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32600","0","0","0","1498.9","0","1146.4","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32700","0","0","0","1580.2","0","1228.7","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32800","1138.4","1288.1","1130","1288.1","1288.1","1288.1","10","68.02","2.42","200","200","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","32900","0","0","0","1378.5","0","1399.25","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","33000","1380","1500","1365","1440.3","1425","1440.3","14","96.41","4.01","420","280","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","33100","0","0","0","1540.05","0","1576.75","0","0","0","0","0","-"
"BANKNIFTY","30-May-2019","06-Jun-2019","PE","27100","1.65","2.5","1.05","1.5","1.5","1.5","9006","48815.8","3.28","140","140","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27000","2","4","1.35","2.9","2.85","2.9","4482","24204.69","1.89","4640","4640","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27100","4","4.4","0.6","2.15","2.45","2.15","438","2374.22",".26","1640","1500","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27200","1.6","3.9","1.15","2.05","1.85","2.05","3101","16870.6","1.16","200","200","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27300","1.65","3.35","1.65","2.4","2.4","2.4","9067","49510.25","4.43","480","480","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27400","1.85","3.45","1.8","3.45","3.45","3.45","7543","41339.21","3.57","0","0","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27500","3.9","4.9","2","3.05","3","3.05","145","797.59",".09","640","260","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27600","2.25","2.75","1.8","2.25","2.25","2.25","2511","13861.91","1.19","40","40","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27700","2.15","2.75","2.15","2.35","2.35","2.35","10019","55510.26","5","80","80","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27800","2.15","3","0.5","2.35","2.35","2.35","53582","297942.83","26.91","420","420","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","27900","0","0","0","146.55","0","0.05","0","0","0","0","0","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28000","2.5","6.55","2.05","2.6","2.1","2.6","566","3170.08",".48","4860","3100","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28100","0","0","0","158.5","0","0.1","0","0","0","0","0","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28200","0","0","0","158.1","0","0.15","0","0","0","0","0","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28300","0","0","0","187.4","0","0.25","0","0","0","0","0","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28400","0","0","0","205.85","0","0.35","0","0","0","0","0","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28500","3","11","2.05","4.15","4.5","4.15","1954","11140.23","2.43","17320","16280","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28600","0","0","0","246.75","0","0.7","0","0","0","0","0","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28700","0","0","0","269.35","0","1","0","0","0","0","0","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28800","5.95","13","4.05","8","8","8","40","230.47",".07","500","500","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","28900","8.7","21","2.4","5.5","4.9","5.5","917","5301.71","1.45","2880","2760","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","29000","0.2","43.1","0.2","6.65","5.45","6.65","19437","112783.46","48.86","69520","44080","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","29100","1.05","23.65","1","6.15","7","6.15","707","4116.14","1.4","1740","1700","-"
"BANKNIFTY","31-May-2019","06-Jun-2019","PE","29200","2.15","29.95","2.1","6.95","8.85","6.95","348","2033.18",".86","2060","2060","-"
