"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","24500","3","4.75","3","4","4","4","45","220.54",".04","660","660","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","29300","0","0","0","1514.8","0","1965.4","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","24700","0","0","0","180.65","0","0","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","24800","0","0","0","199.5","0","0","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","24900","0","0","0","219.8","0","0","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25000","12","12","4.05","5.75","4.05","5.75","2722","13613.82","3.82","39960","38280","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25100","0","0","0","264.95","0","0.05","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25200","13","13","6.25","8.05","7","8.05","243","1225.23",".51","3960","3920","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25300","22.05","22.05","20.1","20.1","20.1","20.1","4","20.26",".02","260","80","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25400","19.3","19.3","7.5","8.95","8.25","8.95","105","533.6",".2","1140","960","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25500","24","24","7.55","8.35","7.55","8.35","10338","52748.3","24.5","72880","19120","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25600","15","18.7","7.6","10.75","7.6","10.75","554","2837.84","1.36","4240","4240","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25700","28.25","28.25","9.25","12.1","9.25","12.1","2389","12287.56","8.1","13680","11100","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25800","27.9","39.55","11.2","13.45","11.2","13.45","3660","18899.95","14.35","13020","6700","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","25900","42","44","9.9","15.6","10.5","15.6","3866","20044.68","18.8","16060","4060","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26000","38.1","58.75","16.8","18.75","17.25","18.75","55544","289154.9","326.1","305460","123520","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26100","75.25","75.95","18.8","20.95","20.2","20.95","14293","74709.58","100.12","72480","63920","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26200","80.05","86.6","22.4","24.5","24.4","24.5","22255","116812.78","196.58","93240","77280","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26300","108","108","26.4","28.5","27.3","28.5","19720","103932.45","205.25","105860","88440","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26400","122","129.85","31.55","34.45","35","34.45","30085","159200.87","352.07","151920","134300","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26500","144.65","148.95","42.15","45.25","47.85","45.25","65595","348671.83","1018.33","338300","224700","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26600","128.25","193.8","52.9","56.85","58.45","56.85","25889","138210.27","480.79","101800","87520","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26700","176","206.1","68.45","73.2","76.5","73.2","46866","251359.3","1094.86","259160","240160","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26800","256","256","91","96.95","100.65","96.95","33725","181749.27","983.27","161220","137940","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","26900","258.4","282.2","115.6","122.25","126","122.25","27798","150523.34","970.1","102440","93780","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27000","301.25","337.4","146","153.5","157","153.5","61973","337226.43","2572.23","276340","203440","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27100","360","381.4","178.7","187.7","194.15","187.7","15500","84698.76","688.76","73380","68400","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27200","411.9","447.8","220.1","231.75","240","231.75","18560","101895","928.6","126020","120900","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27300","458.55","490","260.45","277.95","288","277.95","7252","40020.74","424.82","61220","59200","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27400","575.55","575.55","313.9","332.25","337.6","332.25","805","4471.27","59.87","9440","6720","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27500","621","635","372.7","390.5","403.6","390.5","2021","11299.9","184.4","32640","13140","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27600","651","651","441.15","452.35","468.35","452.35","75","421.34","7.34","1540","820","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27700","704.6","742.15","517","531.4","540.3","531.4","41","231.76","4.62","1000","380","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27800","793","793","597.75","608.75","628.15","608.75","18","102.47","2.39","160","160","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","27900","887.1","887.1","659.5","662.6","709.2","662.6","27","154.49","3.83","1280","280","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28000","1087.7","1087.7","766","777.25","813.35","777.25","285","1649.31","53.31","4940","3160","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28100","0","0","0","1547.9","0","802.15","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28200","1200.4","1200.4","1200.4","1200.4","1200.4","1200.4","1","5.88",".24","20","20","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28300","0","0","0","1584.55","0","984.7","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28400","0","0","0","1655.8","0","1079.05","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28500","1449","1478.8","1229.95","1239.85","1229.95","1239.85","298","1781.01","82.41","5660","5640","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28600","0","0","0","1616.25","0","1271.95","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28700","0","0","0","1559.85","0","1369.85","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28800","0","0","0","1635.3","0","1468.35","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","28900","0","0","0","1603.15","0","1567.3","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","29000","0","0","0","1552","0","1666.55","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","29100","0","0","0","1525.65","0","1766.05","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","29200","0","0","0","1429.9","0","1865.65","0","0","0","0","0","27295.45"
"BANKNIFTY","31-Jan-2019","07-Feb-2019","PE","24600","0","0","0","163.2","0","0","0","0","0","0","0","27295.45"
"BANKNIFTY","01-Feb-2019","07-Feb-2019","PE","24500","1","2.7","1","2.25","1.55","2.25","2523","12363.6",".9","32300","31640","-"
"BANKNIFTY","01-Feb-2019","07-Feb-2019","PE","29300","1911.95","2312.75","1911.95","2312.75","2312.75","2312.75","2","12.56",".84","20","20","-"
"BANKNIFTY","01-Feb-2019","07-Feb-2019","PE","24700","1.55","2.55","1.5","1.95","2.05","1.95","8307","41039.81","3.23","2340","2340","-"
"BANKNIFTY","01-Feb-2019","07-Feb-2019","PE","24800","1.65","8.7","0.85","3.1","4.7","3.1","20486","101618.16","7.6","4100","4100","-"
"BANKNIFTY","01-Feb-2019","07-Feb-2019","PE","24900","0","0","0","219.8","0","0","0","0","0","0","0","-"
