"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","02-May-2019","09-May-2019","CE","26200","0","0","0","2009.4","0","3542.85","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","32100","0","0","0","83.8","0","0.4","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","26400","0","0","0","1841.3","0","3343.15","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","26500","0","0","0","1759.45","0","3243.25","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","26600","0","0","0","1679.1","0","3143.4","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","26700","3100","3100","3077.8","3077.8","3077.8","3077.8","2","11.92","1.24","40","40","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","26800","0","0","0","1523.4","0","2943.65","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","26900","0","0","0","1448.2","0","2843.8","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27000","2773","2874.25","2694.2","2694.2","2694.2","2694.2","9","53.68","5.08","120","120","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27100","0","0","0","1303.1","0","2644.05","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27200","2599.9","2599.9","2599.9","2599.9","2599.9","2599.9","1","5.96",".52","20","20","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27300","2499.9","2499.9","2499.9","2499.9","2499.9","2499.9","1","5.96",".5","20","20","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27400","2160.55","2213.25","2160.55","2200.85","2213.2","2200.85","17","100.64","7.48","340","340","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27500","2280","2410","2196.7","2230.7","2240","2230.7","148","883.54","69.54","2520","2520","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27600","1925","2353","1925","2140.95","2130","2140.95","6","35.69","2.57","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27700","0","0","0","917.95","0","2045.45","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27800","1763.95","1763.95","1763.95","1763.95","1763.95","1763.95","8","47.3","2.82","160","160","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","27900","1724.5","1724.55","1724.5","1724.5","1724.5","1724.5","26","154.05","8.97","520","520","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","28000","1770","1920","1671.15","1711.45","1712.75","1711.45","502","2994.25","183.05","9400","9360","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","28100","0","0","0","704.95","0","1648.9","0","0","0","0","0","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","28200","1660","1660","1660","1660","1660","1660","1","5.97",".33","20","20","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","28300","1560","1560","1475","1475","1475","1475","14","83.44","4.2","280","280","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","28400","1500","1500","1300","1300","1300","1300","7","41.74","1.98","80","80","-"
"BANKNIFTY","02-May-2019","09-May-2019","CE","28500","1250","1423","1209.85","1215.2","1220","1215.2","64","381.19","16.39","1000","980","-"
